NCBI_ID	Title
XM_062077111.1	PREDICTED: Apis cerana gamma-aminobutyric acid receptor subunit beta (LOC107999294), transcript variant X3, mRNA
XM_062077110.1	PREDICTED: Apis cerana gamma-aminobutyric acid receptor subunit beta (LOC107999294), transcript variant X2, mRNA
XM_062077109.1	PREDICTED: Apis cerana gamma-aminobutyric acid receptor subunit beta (LOC107999294), transcript variant X1, mRNA
XM_062076894.1	PREDICTED: Apis cerana unconventional myosin-IXa (LOC107995193), transcript variant X9, mRNA
XM_028665435.2	PREDICTED: Apis cerana unconventional myosin-IXa (LOC107995193), transcript variant X8, mRNA
XM_062076893.1	PREDICTED: Apis cerana unconventional myosin-IXa (LOC107995193), transcript variant X7, mRNA
XM_028665434.2	PREDICTED: Apis cerana unconventional myosin-IXa (LOC107995193), transcript variant X6, mRNA
XM_017052544.3	PREDICTED: Apis cerana unconventional myosin-IXa (LOC107995193), transcript variant X1, mRNA
XR_009830343.1	PREDICTED: Apis cerana uncharacterized LOC107999655 (LOC107999655), transcript variant X7, ncRNA
XM_062076622.1	PREDICTED: Apis cerana dynein axonemal heavy chain 7-like (LOC107999697), transcript variant X5, mRNA
XM_062076620.1	PREDICTED: Apis cerana dynein axonemal heavy chain 7-like (LOC107999697), transcript variant X4, mRNA
XM_062076617.1	PREDICTED: Apis cerana dynein axonemal heavy chain 7-like (LOC107999697), transcript variant X1, mRNA
XM_062076564.1	PREDICTED: Apis cerana uncharacterized LOC108000905 (LOC108000905), transcript variant X17, mRNA
XM_062076563.1	PREDICTED: Apis cerana uncharacterized LOC108000905 (LOC108000905), transcript variant X16, mRNA
XM_062076562.1	PREDICTED: Apis cerana uncharacterized LOC108000905 (LOC108000905), transcript variant X15, mRNA
XM_062076561.1	PREDICTED: Apis cerana uncharacterized LOC108000905 (LOC108000905), transcript variant X13, mRNA
XM_062076560.1	PREDICTED: Apis cerana uncharacterized LOC108000905 (LOC108000905), transcript variant X12, mRNA
XM_062076559.1	PREDICTED: Apis cerana uncharacterized LOC108000905 (LOC108000905), transcript variant X11, mRNA
XM_062076558.1	PREDICTED: Apis cerana uncharacterized LOC108000905 (LOC108000905), transcript variant X10, mRNA
XM_062076557.1	PREDICTED: Apis cerana uncharacterized LOC108000905 (LOC108000905), transcript variant X9, mRNA
XM_062076556.1	PREDICTED: Apis cerana uncharacterized LOC108000905 (LOC108000905), transcript variant X8, mRNA
XM_062076555.1	PREDICTED: Apis cerana uncharacterized LOC108000905 (LOC108000905), transcript variant X7, mRNA
XM_062076554.1	PREDICTED: Apis cerana uncharacterized LOC108000905 (LOC108000905), transcript variant X6, mRNA
XM_062076553.1	PREDICTED: Apis cerana uncharacterized LOC108000905 (LOC108000905), transcript variant X5, mRNA
XM_062076552.1	PREDICTED: Apis cerana uncharacterized LOC108000905 (LOC108000905), transcript variant X3, mRNA
XR_009830275.1	PREDICTED: Apis cerana uncharacterized LOC108000905 (LOC108000905), transcript variant X2, misc_RNA
XM_062076551.1	PREDICTED: Apis cerana uncharacterized LOC108000905 (LOC108000905), transcript variant X1, mRNA
XM_062076437.1	PREDICTED: Apis cerana la-related protein 1B (LOC107994112), transcript variant X4, mRNA
XM_062076436.1	PREDICTED: Apis cerana la-related protein 1B (LOC107994112), transcript variant X1, mRNA
XM_062076388.1	PREDICTED: Apis cerana teneurin-a (LOC107993946), transcript variant X5, mRNA
XM_062076387.1	PREDICTED: Apis cerana teneurin-a (LOC107993946), transcript variant X4, mRNA
XM_062076386.1	PREDICTED: Apis cerana teneurin-a (LOC107993946), transcript variant X3, mRNA
XM_062076385.1	PREDICTED: Apis cerana teneurin-a (LOC107993946), transcript variant X2, mRNA
XM_062076384.1	PREDICTED: Apis cerana teneurin-a (LOC107993946), transcript variant X1, mRNA
XR_009830210.1	PREDICTED: Apis cerana uncharacterized LOC107994189 (LOC107994189), transcript variant X4, ncRNA
XR_009830208.1	PREDICTED: Apis cerana uncharacterized LOC107994189 (LOC107994189), transcript variant X2, ncRNA
XR_009830207.1	PREDICTED: Apis cerana uncharacterized LOC107994189 (LOC107994189), transcript variant X1, ncRNA
XM_062076310.1	PREDICTED: Apis cerana neurobeachin (LOC107993727), transcript variant X19, mRNA
XM_062076305.1	PREDICTED: Apis cerana neurobeachin (LOC107993727), transcript variant X11, mRNA
XM_062076304.1	PREDICTED: Apis cerana neurobeachin (LOC107993727), transcript variant X8, mRNA
XM_017049899.3	PREDICTED: Apis cerana zinc finger protein chinmo (LOC107993478), transcript variant X2, mRNA
XM_017049896.3	PREDICTED: Apis cerana zinc finger protein chinmo (LOC107993478), transcript variant X1, mRNA
XM_017056689.3	PREDICTED: Apis cerana baculoviral IAP repeat-containing protein 6 (LOC107997826), transcript variant X2, mRNA
XM_017056688.3	PREDICTED: Apis cerana baculoviral IAP repeat-containing protein 6 (LOC107997826), transcript variant X1, mRNA
XM_062074862.1	PREDICTED: Apis cerana sodium/calcium exchanger 3 (LOC107994407), transcript variant X3, mRNA
XM_017056451.3	PREDICTED: Apis cerana protein kinase C (LOC107997685), transcript variant X13, mRNA
XR_009829672.1	PREDICTED: Apis cerana protein kinase C (LOC107997685), transcript variant X9, misc_RNA
XR_009829668.1	PREDICTED: Apis cerana protein kinase C (LOC107997685), transcript variant X5, misc_RNA
XR_009829667.1	PREDICTED: Apis cerana protein kinase C (LOC107997685), transcript variant X4, misc_RNA
XR_009829666.1	PREDICTED: Apis cerana protein kinase C (LOC107997685), transcript variant X3, misc_RNA
XR_009829665.1	PREDICTED: Apis cerana protein kinase C (LOC107997685), transcript variant X2, misc_RNA
XM_017056449.3	PREDICTED: Apis cerana protein kinase C (LOC107997685), transcript variant X1, mRNA
XM_062074683.1	PREDICTED: Apis cerana probable ubiquitin carboxyl-terminal hydrolase FAF-X (LOC107997608), transcript variant X7, mRNA
XR_009829639.1	PREDICTED: Apis cerana probable ubiquitin carboxyl-terminal hydrolase FAF-X (LOC107997608), transcript variant X6, misc_RNA
XM_017056325.3	PREDICTED: Apis cerana probable ubiquitin carboxyl-terminal hydrolase FAF-X (LOC107997608), transcript variant X5, mRNA
XM_062074681.1	PREDICTED: Apis cerana probable ubiquitin carboxyl-terminal hydrolase FAF-X (LOC107997608), transcript variant X4, mRNA
XM_017056322.3	PREDICTED: Apis cerana probable ubiquitin carboxyl-terminal hydrolase FAF-X (LOC107997608), transcript variant X3, mRNA
XM_017056323.2	PREDICTED: Apis cerana probable ubiquitin carboxyl-terminal hydrolase FAF-X (LOC107997608), transcript variant X2, mRNA
XM_028666610.2	PREDICTED: Apis cerana probable ubiquitin carboxyl-terminal hydrolase FAF-X (LOC107997608), transcript variant X1, mRNA
XM_062074003.1	PREDICTED: Apis cerana protein split ends (LOC107996075), transcript variant X4, mRNA
XM_062074002.1	PREDICTED: Apis cerana protein split ends (LOC107996075), transcript variant X3, mRNA
XM_062074001.1	PREDICTED: Apis cerana protein split ends (LOC107996075), transcript variant X2, mRNA
XM_062073981.1	PREDICTED: Apis cerana 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase epsilon-1 (LOC107999048), transcript variant X8, mRNA
XM_017058693.3	PREDICTED: Apis cerana 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase epsilon-1 (LOC107999048), transcript variant X7, mRNA
